iteration          avg Insert time(s)          avg Search time(s)     
1                     7.2e-08                         5.2e-08
2                     5.7e-08                         4.6e-08
3                     5.7e-08                         4.7e-08
4                     5.5e-08                         4.2e-08
5                     5.6e-08                         4.9e-08
6                     5.6e-08                         4.3e-08
7                     5.5e-08                         4.8e-08
8                     5.6e-08                         4.3e-08
9                     5.6e-08                         4.9e-08
10                     5.6e-08                         4.7e-08
11                     5.6e-08                         4.4e-08
12                     5.6e-08                         4.3e-08
13                     5.7e-08                         4.7e-08
14                     5.6e-08                         4.3e-08
15                     5.7e-08                         4.5e-08
16                     5.8e-08                         4.4e-08
17                     5.9e-08                         4.5e-08
18                     5.9e-08                         4.2e-08
19                     5.8e-08                         4.3e-08
20                     5.9e-08                         4.6e-08
21                     5.9e-08                         4.7e-08
22                     5.9e-08                         4.3e-08
23                     5.9e-08                         4.5e-08
24                     5.9e-08                         4.7e-08
25                     5.9e-08                         4.9e-08
26                     6e-08                         4.6e-08
27                     5.8e-08                         4.9e-08
28                     6e-08                         4.6e-08
29                     6e-08                         4.6e-08
30                     5.8e-08                         4.5e-08
31                     5.8e-08                         4.7e-08
32                     5.8e-08                         4.6e-08
33                     5.7e-08                         4.9e-08
34                     5.7e-08                         4.6e-08
35                     5.6e-08                         4.6e-08
36                     5.6e-08                         4.7e-08
37                     5.6e-08                         4.8e-08
38                     5.7e-08                         4.6e-08
39                     5.7e-08                         4.7e-08
40                     5.6e-08                         4.8e-08
41                     5.5e-08                         4.8e-08
42                     1.09e-07                         4.8e-08
43                     5.5e-08                         4.9e-08
44                     9.7e-08                         7.6e-08
45                     4.69e-07                         4.7e-08
46                     9.3e-08                         4.8e-08
47                     9.1e-08                         4.7e-08
48                     5.2e-08                         4.7e-08
49                     9.1e-08                         4.5e-08
50                     9.6e-08                         4.6e-08
51                     9.2e-08                         4.9e-08
52                     5.3e-08                         4.7e-08
53                     9.2e-08                         4.8e-08
54                     9.1e-08                         4.5e-08
55                     9.1e-08                         4.4e-08
56                     9.5e-08                         4.6e-08
57                     5.2e-08                         4.6e-08
58                     9.1e-08                         4.8e-08
59                     9.1e-08                         4.3e-08
60                     9.3e-08                         4.3e-08
61                     5.2e-08                         4.4e-08
62                     9.1e-08                         4.7e-08
63                     9.2e-08                         4.4e-08
64                     9.2e-08                         4.8e-08
65                     9.1e-08                         4.2e-08
66                     5.1e-08                         4.4e-08
67                     9.2e-08                         4.3e-08
68                     9.3e-08                         4.3e-08
69                     9.7e-08                         4.3e-08
70                     5.3e-08                         4.9e-08
71                     9e-08                         4.4e-08
