iteration          avg Insert time(s)          avg Search time(s)     
1                     1.61e-07                         2.7e-08
2                     9.4e-08                         2.1e-08
3                     8.4e-08                         2.2e-08
4                     8.1e-08                         2.2e-08
5                     7.6e-08                         2.2e-08
6                     7.4e-08                         2.3e-08
7                     6.7e-08                         2.3e-08
8                     7.1e-08                         2.2e-08
9                     6.9e-08                         2.2e-08
10                     6e-08                         2.3e-08
11                     6.7e-08                         2.6e-08
12                     6.3e-08                         2.3e-08
13                     6.2e-08                         2.2e-08
14                     5.6e-08                         2.3e-08
15                     6e-08                         2.3e-08
16                     6.2e-08                         2.4e-08
17                     5.9e-08                         2.5e-08
18                     5.6e-08                         2.3e-08
19                     5.8e-08                         2.5e-08
20                     6.2e-08                         2.3e-08
21                     6.3e-08                         2.4e-08
22                     6.3e-08                         2.4e-08
23                     6.3e-08                         2.4e-08
24                     6.1e-08                         2.4e-08
25                     6.4e-08                         2.3e-08
26                     6.2e-08                         2.5e-08
27                     6.5e-08                         2.4e-08
28                     6.4e-08                         2.4e-08
29                     6.3e-08                         2.5e-08
30                     6.8e-08                         2.6e-08
31                     7.4e-08                         2.7e-08
32                     6.7e-08                         2.5e-08
33                     6.8e-08                         2.5e-08
34                     6.2e-08                         2.6e-08
35                     6.5e-08                         3.1e-08
36                     6.5e-08                         2.6e-08
37                     1.55e-07                         2.9e-08
38                     1.17e-07                         2.6e-08
39                     7.2e-08                         4e-08
40                     3.78e-07                         2.9e-08
41                     1.27e-07                         2.8e-08
42                     1.21e-07                         3e-08
43                     1.18e-07                         2.8e-08
44                     6.8e-08                         2.7e-08
45                     1.28e-07                         3e-08
46                     1.2e-07                         2.5e-08
47                     1.18e-07                         2.7e-08
48                     6.6e-08                         2.6e-08
49                     1.16e-07                         2.7e-08
50                     1.17e-07                         2.9e-08
51                     1.14e-07                         2.7e-08
52                     1.18e-07                         3e-08
53                     6.2e-08                         2.6e-08
54                     1.16e-07                         2.8e-08
55                     1.36e-07                         3.2e-08
56                     1.19e-07                         3e-08
57                     7.1e-08                         2.8e-08
58                     1.24e-07                         2.8e-08
59                     1.27e-07                         2.7e-08
60                     1.18e-07                         2.9e-08
61                     1.17e-07                         3.1e-08
62                     7.8e-08                         3e-08
63                     1.27e-07                         2.7e-08
64                     1.26e-07                         3.1e-08
65                     1.32e-07                         3e-08
66                     1.21e-07                         3e-08
67                     7.7e-08                         3e-08
68                     1.24e-07                         3.1e-08
69                     1.17e-07                         2.8e-08
70                     1.19e-07                         2.9e-08
71                     6.9e-08                         3.6e-08
72                     1.23e-07                         2.9e-08
73                     1.24e-07                         3.6e-08
74                     1.45e-07                         3.3e-08
75                     1.24e-07                         3.2e-08
76                     6.9e-08                         3.2e-08
77                     1.23e-07                         3e-08
78                     1.42e-07                         3.3e-08
79                     1.21e-07                         3.1e-08
80                     7.2e-08                         3e-08
81                     1.22e-07                         3e-08
82                     3.04e-07                         3e-08
83                     1.25e-07                         3e-08
84                     1.22e-07                         3.1e-08
85                     7.1e-08                         2.9e-08
86                     1.19e-07                         3e-08
87                     1.16e-07                         3.1e-08
88                     1.21e-07                         3e-08
89                     6.6e-08                         2.9e-08
90                     1.19e-07                         2.9e-08
91                     1.41e-07                         3.2e-08
92                     1.18e-07                         3e-08
93                     1.32e-07                         3.5e-08
94                     7.3e-08                         2.8e-08
95                     1.18e-07                         4.9e-08
96                     1.76e-07                         2.9e-08
97                     1.25e-07                         3.3e-08
98                     1.29e-07                         3e-08
99                     9.4e-08                         3.2e-08
100                     1.24e-07                         3.5e-08
101                     1.23e-07                         3.3e-08
102                     1.21e-07                         3.3e-08
103                     6.8e-08                         3e-08
104                     1.23e-07                         3.2e-08
105                     1.22e-07                         3e-08
106                     1.18e-07                         3e-08
107                     1.2e-07                         3.2e-08
108                     7.4e-08                         3.1e-08
109                     1.17e-07                         3.1e-08
110                     1.22e-07                         3e-08
111                     1.22e-07                         3e-08
112                     6.9e-08                         3e-08
113                     1.27e-07                         2.9e-08
114                     1.18e-07                         3.1e-08
115                     1.19e-07                         3e-08
116                     1.17e-07                         2.9e-08
117                     6.9e-08                         3.2e-08
118                     1.19e-07                         3e-08
119                     1.19e-07                         3.2e-08
120                     1.16e-07                         3.1e-08
121                     6.4e-08                         3.1e-08
122                     1.23e-07                         3.1e-08
123                     1.25e-07                         3.2e-08
124                     2.42e-07                         3.2e-08
125                     1.23e-07                         3.2e-08
126                     7.4e-08                         3.2e-08
127                     1.26e-07                         3e-08
128                     1.25e-07                         6e-08
129                     1.2e-07                         3.3e-08
130                     1.34e-07                         3e-08
131                     6.9e-08                         3e-08
132                     1.33e-07                         3.3e-08
133                     1.2e-07                         3.1e-08
134                     1.21e-07                         3.1e-08
135                     7.5e-08                         3.5e-08
136                     1.34e-07                         3.1e-08
137                     1.23e-07                         3.1e-08
138                     1.24e-07                         3.4e-08
139                     1.26e-07                         3.3e-08
140                     8.2e-08                         3.3e-08
141                     1.23e-07                         3.2e-08
142                     1.18e-07                         3.2e-08
143                     1.23e-07                         3.3e-08
144                     6.8e-08                         3.4e-08
145                     1.18e-07                         3.7e-08
146                     1.19e-07                         4.1e-08
147                     1.22e-07                         7.8e-08
148                     1.26e-07                         3.8e-08
