iteration          avg Insert time(s)          avg Search time(s)     
1                     1.22e-07                         2.7e-08
2                     3.6e-08                         2e-08
3                     3.2e-08                         2.1e-08
4                     2.9e-08                         2e-08
5                     3e-08                         2.1e-08
6                     2.7e-08                         2e-08
7                     2.8e-08                         2.1e-08
8                     4.1e-08                         2.3e-08
9                     2.8e-08                         2.2e-08
10                     2.5e-08                         2.2e-08
11                     2.8e-08                         2.2e-08
12                     2.6e-08                         2.2e-08
13                     2.7e-08                         2e-08
14                     2.6e-08                         2.1e-08
15                     2.9e-08                         2.1e-08
16                     2.7e-08                         2.1e-08
17                     2.4e-08                         2e-08
18                     2.5e-08                         2.1e-08
19                     2.9e-08                         2.1e-08
20                     2.9e-08                         2e-08
21                     3.2e-08                         2e-08
22                     3e-08                         2.3e-08
23                     3.6e-08                         2.2e-08
24                     3.4e-08                         2.1e-08
25                     3.6e-08                         2.1e-08
26                     3e-08                         2.3e-08
27                     5.2e-08                         2.4e-08
28                     3.4e-08                         2.1e-08
29                     3.3e-08                         2.7e-08
30                     3e-08                         2.3e-08
31                     3.7e-08                         2.4e-08
32                     3.5e-08                         2.2e-08
33                     3.2e-08                         2.2e-08
34                     3e-08                         2.3e-08
35                     3e-08                         3.8e-08
36                     3.5e-08                         2.1e-08
37                     3.2e-08                         2.4e-08
38                     3.1e-08                         2.2e-08
39                     3.8e-08                         2.2e-08
40                     3.6e-08                         2.3e-08
41                     5e-08                         2.1e-08
42                     3.1e-08                         2.1e-08
43                     3.2e-08                         2.3e-08
44                     3.3e-08                         2.1e-08
45                     3.6e-08                         2.4e-08
46                     3.5e-08                         2e-08
47                     2.8e-08                         2.2e-08
48                     3.6e-08                         2e-08
49                     3.9e-08                         2.3e-08
50                     3.2e-08                         2.4e-08
51                     3.1e-08                         2.1e-08
52                     3.8e-08                         2.2e-08
53                     3e-08                         2.2e-08
54                     3.4e-08                         2.1e-08
55                     3.7e-08                         2.3e-08
56                     3.3e-08                         2.3e-08
57                     4.3e-08                         2.4e-08
58                     4e-08                         2.1e-08
59                     3.1e-08                         2.5e-08
