iteration          avg Insert time(s)          avg Search time(s)     
1                     8.2e-08                         2.5e-08
2                     2.3e-07                         2.2e-08
3                     2.8e-08                         2e-08
4                     3e-08                         2e-08
5                     2.9e-08                         2e-08
6                     2.5e-08                         2e-08
7                     2.6e-08                         2e-08
8                     2.6e-08                         2.1e-08
9                     2.6e-08                         2.1e-08
10                     2.7e-08                         2.1e-08
11                     3.1e-08                         2.1e-08
12                     2.8e-08                         2.1e-08
13                     2.9e-08                         2e-08
14                     2.6e-08                         2.2e-08
15                     2.8e-08                         2e-08
16                     3.2e-08                         2.1e-08
17                     2.9e-08                         2e-08
18                     2.5e-08                         2.1e-08
19                     2.9e-08                         2.1e-08
20                     3.3e-08                         2.1e-08
21                     2.9e-08                         2e-08
22                     3.2e-08                         2e-08
23                     3.5e-08                         2e-08
24                     3.1e-08                         2.1e-08
25                     4.8e-08                         2e-08
26                     3.2e-08                         2.1e-08
27                     3.7e-08                         2e-08
28                     3.7e-08                         2.1e-08
29                     3.5e-08                         2e-08
30                     3.1e-08                         2e-08
31                     4e-08                         2e-08
32                     3.9e-08                         2.1e-08
33                     3.4e-08                         2.1e-08
34                     3.5e-08                         2.1e-08
35                     3.6e-08                         2.1e-08
36                     3.7e-08                         2.2e-08
37                     3.4e-08                         2.2e-08
38                     3.6e-08                         2.1e-08
39                     4.4e-08                         2e-08
40                     3.4e-08                         2.1e-08
41                     4.3e-08                         2.2e-08
42                     4e-08                         2.4e-08
43                     3.7e-08                         2.4e-08
44                     4.1e-08                         2.1e-08
45                     7.6e-08                         2.4e-08
46                     4.5e-08                         4e-08
47                     3.4e-08                         2.5e-08
48                     3.5e-08                         2.2e-08
49                     4e-08                         3e-08
50                     3.7e-08                         2.6e-08
51                     4e-08                         2.4e-08
52                     4.7e-08                         2.6e-08
53                     4e-08                         2.5e-08
54                     3.8e-08                         2.6e-08
55                     4.5e-08                         2.3e-08
56                     3.5e-08                         2.5e-08
57                     4.6e-08                         2.2e-08
58                     4.4e-08                         2.2e-08
59                     4e-08                         3.1e-08
60                     4.1e-08                         2.8e-08
61                     4.9e-08                         2.2e-08
62                     4.9e-08                         2.4e-08
63                     5e-08                         2.6e-08
64                     5e-08                         2.4e-08
65                     4.1e-08                         2.3e-08
66                     3.9e-08                         2.4e-08
67                     4.2e-08                         2.8e-08
68                     3.8e-08                         2.2e-08
69                     3.8e-08                         2.3e-08
70                     4e-08                         2.3e-08
71                     3.7e-08                         2.2e-08
72                     4.1e-08                         2.5e-08
73                     4.5e-08                         2.6e-08
74                     3.8e-08                         3.2e-08
75                     4.4e-08                         2.3e-08
76                     3.4e-08                         2.2e-08
77                     5.5e-08                         2.3e-08
78                     3.7e-08                         2.2e-08
79                     3.9e-08                         2.4e-08
80                     4.3e-08                         2.2e-08
81                     4.1e-08                         2.5e-08
82                     4.4e-08                         2.6e-08
83                     4.2e-08                         2.7e-08
84                     4.8e-08                         2.2e-08
85                     4.2e-08                         2.4e-08
86                     3.9e-08                         2.4e-08
87                     4.3e-08                         2.3e-08
88                     4.2e-08                         2.4e-08
89                     4e-08                         2.6e-08
90                     4.3e-08                         2.6e-08
91                     6.1e-08                         2.4e-08
92                     4.5e-08                         2.2e-08
93                     4.3e-08                         2.4e-08
94                     3.8e-08                         2.5e-08
95                     4.3e-08                         2.4e-08
96                     3.5e-08                         2.8e-08
97                     4.3e-08                         2.4e-08
98                     3.9e-08                         2.3e-08
99                     3.5e-08                         2.4e-08
100                     4.5e-08                         2.5e-08
101                     4.3e-08                         2.3e-08
102                     4.2e-08                         2.3e-08
103                     4e-08                         2.5e-08
104                     4.4e-08                         2.4e-08
105                     4.1e-08                         2.7e-08
106                     4.2e-08                         2.4e-08
107                     4.8e-08                         2.6e-08
108                     4.3e-08                         2.7e-08
109                     3e-08                         2.5e-08
110                     3.7e-08                         2.3e-08
111                     3.9e-08                         2.4e-08
112                     4e-08                         2.9e-08
113                     4.5e-08                         2.5e-08
114                     4.3e-08                         2.8e-08
115                     3.8e-08                         2.4e-08
116                     4e-08                         2.6e-08
117                     3.6e-08                         2.2e-08
118                     3.7e-08                         2.3e-08
119                     4.4e-08                         2.7e-08
120                     3.6e-08                         2.3e-08
121                     3.5e-08                         2.3e-08
122                     4.1e-08                         2.3e-08
123                     4.4e-08                         2.3e-08
124                     3.9e-08                         2.5e-08
125                     3.6e-08                         2.4e-08
126                     3.8e-08                         2.2e-08
127                     4.1e-08                         2.5e-08
128                     4.9e-08                         2.4e-08
129                     4e-08                         2.4e-08
130                     4.4e-08                         2.7e-08
131                     5.6e-08                         2.6e-08
132                     4.6e-08                         2.4e-08
133                     4e-08                         4.6e-08
134                     3.7e-08                         2.5e-08
135                     4.6e-08                         2.6e-08
136                     4.2e-08                         2.5e-08
137                     6.1e-08                         2.6e-08
138                     4.7e-08                         2.5e-08
139                     4.1e-08                         2.5e-08
140                     4.2e-08                         2.6e-08
141                     3.4e-08                         2.4e-08
142                     3.5e-08                         2.9e-08
143                     3.6e-08                         2.2e-08
144                     4e-08                         2.6e-08
145                     3.7e-08                         2.6e-08
146                     3.6e-08                         2.5e-08
147                     3.5e-08                         2.9e-08
148                     3.8e-08                         2.7e-08
149                     4.1e-08                         2.9e-08
150                     3.4e-08                         2.8e-08
151                     4.2e-08                         2.7e-08
152                     5.1e-08                         3.2e-08
153                     3.6e-08                         2.8e-08
154                     4.4e-08                         3.2e-08
155                     4.3e-08                         3.2e-08
156                     3.9e-08                         2.5e-08
157                     4e-08                         2.8e-08
158                     4e-08                         2.8e-08
159                     4.2e-08                         2.7e-08
160                     3.7e-08                         2.8e-08
161                     4.5e-08                         2.6e-08
162                     3.9e-08                         2.7e-08
163                     4e-08                         2.7e-08
164                     4.2e-08                         2.7e-08
165                     3.9e-08                         2.7e-08
166                     4.8e-08                         2.9e-08
167                     4.5e-08                         3.3e-08
168                     5e-08                         2.6e-08
169                     4.7e-08                         2.8e-08
170                     4.3e-08                         3.1e-08
171                     4.2e-08                         2.9e-08
172                     4.6e-08                         2.8e-08
173                     3.7e-08                         2.5e-08
174                     4.7e-08                         2.8e-08
175                     4.7e-08                         2.7e-08
176                     5.1e-08                         2.9e-08
177                     5e-08                         4.1e-08
178                     5.7e-08                         2.9e-08
179                     4.6e-08                         2.7e-08
180                     5.4e-08                         6.7e-08
181                     7.3e-08                         9.4e-08
182                     6.1e-08                         2.7e-08
183                     5.5e-08                         2.9e-08
184                     5e-08                         2.8e-08
185                     4.8e-08                         3.2e-08
186                     5.9e-08                         3.6e-08
187                     4.9e-08                         3.1e-08
188                     5.5e-08                         3.3e-08
189                     5.5e-08                         2.9e-08
190                     5.8e-08                         2.8e-08
191                     6.7e-08                         3e-08
192                     6.6e-08                         3.1e-08
193                     7.3e-08                         2.8e-08
194                     7e-08                         3.1e-08
195                     6.1e-08                         3.4e-08
196                     7.1e-08                         3e-08
197                     7.6e-08                         2.9e-08
198                     7.9e-08                         3e-08
199                     7e-08                         5.9e-08
200                     7.7e-08                         3e-08
201                     7.3e-08                         3.3e-08
202                     7e-08                         2.8e-08
203                     7.4e-08                         2.6e-08
204                     7.2e-08                         3.1e-08
205                     7.4e-08                         3e-08
206                     8.9e-08                         5.1e-08
207                     1.02e-07                         6.9e-08
208                     1.23e-07                         4.6e-08
209                     1.08e-07                         5.2e-08
210                     1.24e-07                         4.4e-08
211                     1.21e-07                         5.2e-08
212                     1.21e-07                         5.2e-08
213                     1.58e-07                         4.9e-08
214                     1.25e-07                         4.1e-08
215                     9.2e-08                         3.2e-08
216                     8.1e-08                         3.2e-08
217                     8.8e-08                         2.9e-08
218                     8.7e-08                         3.3e-08
219                     9.6e-08                         3.4e-08
220                     9.7e-08                         3.1e-08
221                     9.1e-08                         3.3e-08
222                     1e-07                         3.4e-08
223                     9.6e-08                         3.8e-08
224                     9.2e-08                         4.6e-08
225                     1.1e-07                         2.8e-08
226                     9.2e-08                         3.8e-08
227                     9.3e-08                         3.4e-08
228                     1.15e-07                         3.3e-08
229                     1.06e-07                         3.4e-08
230                     1.11e-07                         3.6e-08
231                     1.12e-07                         4.1e-08
232                     1.04e-07                         3.9e-08
233                     1.03e-07                         3.4e-08
234                     1.09e-07                         6.5e-08
235                     1.17e-07                         3.7e-08
236                     1.19e-07                         3.6e-08
237                     1.24e-07                         4e-08
238                     1.23e-07                         3.7e-08
239                     1.31e-07                         3.1e-08
240                     1.61e-07                         4.1e-08
241                     1.27e-07                         3.3e-08
242                     1.29e-07                         4e-08
243                     1.42e-07                         5.1e-08
244                     1.41e-07                         4.5e-08
245                     1.94e-07                         4.6e-08
246                     1.71e-07                         5.9e-08
247                     1.95e-07                         6e-08
248                     1.43e-07                         5.5e-08
249                     1.83e-07                         4.9e-08
250                     2.64e-07                         4.9e-08
251                     1.61e-07                         5.6e-08
252                     1.45e-07                         5.1e-08
253                     1.4e-07                         4.4e-08
254                     1.55e-07                         4.6e-08
255                     1.6e-07                         5.1e-08
256                     2.06e-07                         5e-08
257                     1.51e-07                         4.7e-08
258                     1.91e-07                         4.9e-08
259                     1.79e-07                         4.5e-08
260                     1.92e-07                         4.4e-08
261                     1.89e-07                         4.4e-08
262                     2.16e-07                         5.5e-08
263                     2.26e-07                         5.3e-08
264                     1.79e-07                         6.5e-08
265                     1.68e-07                         5.4e-08
266                     1.87e-07                         4.9e-08
267                     2.15e-07                         4.8e-08
268                     2.07e-07                         7.3e-08
269                     2.16e-07                         6.9e-08
270                     2.18e-07                         9.3e-08
271                     2.39e-07                         6.1e-08
