iteration          avg Insert time(s)          avg Search time(s)     
1                     2.32e-07                         1.96e-07
2                     5.65e-07                         3.54e-07
3                     9.11e-07                         5.21e-07
4                     1.298e-06                         7.49e-07
5                     1.621e-06                         9.07e-07
6                     2.002e-06                         1.062e-06
7                     2.306e-06                         1.173e-06
8                     2.659e-06                         1.452e-06
9                     3.148e-06                         1.602e-06
10                     3.54e-06                         1.874e-06
11                     3.734e-06                         1.851e-06
12                     4.106e-06                         2.216e-06
13                     4.502e-06                         2.308e-06
14                     5.066e-06                         2.597e-06
15                     5.214e-06                         2.847e-06
16                     5.611e-06                         2.702e-06
17                     6.325e-06                         3.175e-06
18                     1.2384e-05                         7.088e-06
19                     9.394e-06                         3.969e-06
20                     1.4714e-05                         8.482e-06
21                     1.6422e-05                         9.171e-06
22                     1.5648e-05                         4.164e-06
23                     8.15e-06                         7.242e-06
24                     1.5439e-05                         7.97e-06
25                     1.4286e-05                         4.294e-06
26                     9.407e-06                         4.72e-06
27                     1.0096e-05                         5.126e-06
28                     1.0299e-05                         5.445e-06
29                     1.3366e-05                         6.31e-06
30                     2.0958e-05                         1.1401e-05
31                     2.2772e-05                         1.0591e-05
32                     2.4211e-05                         8.438e-06
33                     1.3724e-05                         9.925e-06
34                     2.1955e-05                         1.0358e-05
35                     1.7939e-05                         1.1636e-05
36                     2.3623e-05                         8.376e-06
37                     1.2972e-05                         6.622e-06
38                     1.3513e-05                         7.139e-06
39                     1.4103e-05                         7.253e-06
40                     1.4013e-05                         7.109e-06
41                     1.543e-05                         7.072e-06
42                     1.4752e-05                         7.062e-06
43                     1.5404e-05                         8.473e-06
44                     1.6626e-05                         8.748e-06
45                     2.9713e-05                         1.1714e-05
46                     2.3883e-05                         1.5129e-05
47                     3.1351e-05                         1.5464e-05
48                     2.1832e-05                         1.6005e-05
49                     2.7719e-05                         9.64e-06
50                     1.8599e-05                         1.0559e-05
51                     1.9073e-05                         9.758e-06
52                     1.9619e-05                         9.401e-06
53                     2.0214e-05                         8.977e-06
54                     2.0083e-05                         1.0238e-05
55                     2.0391e-05                         1.0321e-05
56                     2.082e-05                         9.497e-06
57                     2.029e-05                         9.656e-06
58                     2.1025e-05                         9.997e-06
59                     2.2423e-05                         1.2783e-05
60                     2.2347e-05                         1.0303e-05
61                     3.4578e-05                         2.0138e-05
62                     4.0546e-05                         1.9677e-05
63                     4.1155e-05                         1.8743e-05
64                     4.7137e-05                         2.6044e-05
65                     4.9243e-05                         2.3369e-05
66                     4.9687e-05                         2.3736e-05
67                     5.0609e-05                         2.4631e-05
68                     4.6488e-05                         2.0713e-05
69                     4.5067e-05                         2.2966e-05
70                     4.5821e-05                         2.012e-05
71                     4.6361e-05                         2.209e-05
72                     4.1607e-05                         2.068e-05
73                     3.5466e-05                         1.4972e-05
74                     4.3495e-05                         2.0808e-05
75                     4.2584e-05                         2.4476e-05
76                     5.0264e-05                         1.8964e-05
77                     4.9806e-05                         2.4003e-05
78                     5.1497e-05                         2.6661e-05
79                     5.1792e-05                         2.4897e-05
80                     5.2324e-05                         2.4246e-05
81                     5.3338e-05                         2.5324e-05
82                     5.4312e-05                         2.6988e-05
83                     5.4531e-05                         2.5991e-05
84                     5.5212e-05                         2.2946e-05
85                     5.6113e-05                         2.4997e-05
86                     5.6929e-05                         2.7889e-05
87                     5.8315e-05                         2.8395e-05
88                     5.8573e-05                         2.7776e-05
89                     5.0991e-05                         2.9772e-05
90                     6.1315e-05                         2.9745e-05
91                     6.1326e-05                         2.0697e-05
92                     6.1683e-05                         2.9597e-05
93                     6.1891e-05                         2.8957e-05
94                     6.279e-05                         2.9253e-05
95                     6.3317e-05                         2.9105e-05
96                     6.3602e-05                         3.2127e-05
97                     6.4274e-05                         2.8644e-05
98                     6.5359e-05                         2.6584e-05
99                     6.6297e-05                         3.0817e-05
100                     6.6613e-05                         3.0407e-05
101                     6.1304e-05                         2.0882e-05
102                     6.7481e-05                         3.121e-05
103                     6.1321e-05                         3.1378e-05
104                     7.4621e-05                         3.2572e-05
105                     7.5763e-05                         2.7606e-05
106                     5.064e-05                         2.366e-05
107                     7.2058e-05                         3.2062e-05
108                     7.2639e-05                         3.3029e-05
109                     7.3049e-05                         3.4177e-05
110                     7.3466e-05                         3.7856e-05
111                     5.5336e-05                         2.9768e-05
112                     4.8277e-05                         3.0427e-05
113                     7.5482e-05                         3.68e-05
114                     7.641e-05                         3.6246e-05
115                     7.6852e-05                         3.3667e-05
116                     7.7088e-05                         2.2551e-05
117                     6.6688e-05                         3.7046e-05
118                     7.0094e-05                         1.9555e-05
119                     7.8403e-05                         3.7596e-05
120                     7.2442e-05                         3.7387e-05
121                     7.2048e-05                         3.4446e-05
122                     6.7698e-05                         2.2582e-05
123                     6.3335e-05                         3.6596e-05
124                     6.0116e-05                         2.9632e-05
125                     8.3518e-05                         3.8552e-05
126                     8.3308e-05                         3.8302e-05
127                     8.5069e-05                         3.9511e-05
128                     8.5715e-05                         8.8139e-05
129                     4.8535e-05                         2.4764e-05
130                     4.8816e-05                         2.6302e-05
131                     4.8979e-05                         2.149e-05
132                     4.8237e-05                         2.8226e-05
133                     5.7327e-05                         3.9412e-05
134                     7.204e-05                         4.3551e-05
135                     9.0314e-05                         4.4674e-05
136                     9.0929e-05                         4.3012e-05
137                     9.1513e-05                         4.4007e-05
138                     8.1291e-05                         3.364e-05
139                     9.0083e-05                         4.6049e-05
140                     9.3805e-05                         4.3189e-05
141                     8.2395e-05                         3.8356e-05
142                     8.7645e-05                         4.7086e-05
143                     9.4983e-05                         4.7659e-05
144                     9.5601e-05                         3.1961e-05
145                     8.1635e-05                         4.5725e-05
146                     9.7497e-05                         4.2774e-05
147                     9.8159e-05                         4.7754e-05
148                     9.8338e-05                         4.4864e-05
149                     9.0929e-05                         4.775e-05
150                     0.000100926                         4.4588e-05
151                     9.4656e-05                         3.529e-05
152                     8.6083e-05                         4.265e-05
153                     9.2267e-05                         3.0969e-05
154                     0.000102951                         4.4277e-05
155                     0.000103536                         3.0846e-05
156                     9.9496e-05                         4.1084e-05
157                     9.1857e-05                         4.8353e-05
158                     9.1861e-05                         4.6082e-05
159                     0.000106549                         5.0476e-05
160                     8.3205e-05                         4.9792e-05
161                     9.0255e-05                         4.7068e-05
162                     9.0447e-05                         5.0132e-05
163                     0.000109032                         5.5504e-05
164                     0.000110088                         3.4676e-05
165                     0.000111096                         3.3154e-05
166                     0.000102401                         4.658e-05
167                     0.000112025                         5.572e-05
168                     0.000112266                         5.2002e-05
169                     0.000112762                         5.3339e-05
170                     0.000109578                         5.2237e-05
171                     0.000113975                         5.1068e-05
172                     0.000115519                         5.4785e-05
173                     0.000115064                         6.0299e-05
174                     0.000110164                         5.2677e-05
175                     0.00011708                         5.1906e-05
176                     0.000104521                         6.5099e-05
177                     9.1997e-05                         4.8687e-05
178                     0.000118594                         4.8948e-05
179                     0.000119439                         5.8403e-05
180                     0.000115253                         5.4439e-05
181                     0.00011584                         6.4578e-05
182                     0.000123185                         4.1704e-05
183                     0.000105437                         3.469e-05
184                     0.000108505                         5.5501e-05
185                     0.000115961                         6.0241e-05
186                     0.000124309                         5.1404e-05
187                     0.000119502                         5.6118e-05
188                     0.000115809                         5.6291e-05
189                     0.000125967                         5.7078e-05
190                     0.000126915                         5.969e-05
191                     0.000128487                         5.6091e-05
192                     0.000117859                         4.0298e-05
193                     0.000106943                         4.9411e-05
194                     0.000110654                         5.567e-05
195                     0.000130592                         4.9418e-05
196                     0.000122613                         6.2971e-05
197                     0.000113885                         5.6178e-05
198                     0.000132588                         6.2876e-05
199                     0.000116054                         6.4808e-05
200                     0.000122065                         5.0557e-05
201                     0.000104364                         6.9847e-05
202                     7.9378e-05                         2.6949e-05
203                     6.5872e-05                         2.9832e-05
204                     6.4745e-05                         5.2295e-05
205                     0.000130081                         5.9722e-05
206                     0.00013838                         6.1623e-05
207                     0.000137856                         6.0422e-05
208                     0.000134576                         4.2105e-05
209                     0.00013959                         5.8869e-05
210                     0.00012942                         5.6906e-05
211                     0.000141167                         6.4942e-05
212                     0.000137506                         5.2436e-05
213                     0.000134593                         6.4254e-05
214                     0.000128189                         6.3717e-05
215                     0.000144192                         6.2303e-05
216                     0.000126728                         3.6282e-05
217                     7.9727e-05                         3.5781e-05
218                     7.7798e-05                         3.2988e-05
219                     7.2994e-05                         2.8511e-05
220                     6.1995e-05                         2.6611e-05
221                     6.1748e-05                         2.8308e-05
222                     6.1913e-05                         2.9058e-05
223                     7.0523e-05                         2.9687e-05
224                     6.7175e-05                         2.8721e-05
225                     6.2661e-05                         2.6886e-05
226                     6.3338e-05                         2.8992e-05
227                     6.7206e-05                         3.1729e-05
228                     6.6669e-05                         3.0038e-05
229                     6.6361e-05                         3.2964e-05
230                     6.5689e-05                         2.7197e-05
231                     6.5233e-05                         2.7709e-05
232                     6.7374e-05                         3.4197e-05
233                     7.5603e-05                         3.6915e-05
234                     7.0444e-05                         3.1798e-05
235                     7.3823e-05                         3.0184e-05
236                     7.1932e-05                         3.145e-05
237                     7.5983e-05                         3.7696e-05
238                     7.38e-05                         3.6113e-05
239                     0.000119663                         7.3804e-05
240                     0.000160035                         6.7031e-05
241                     0.000160881                         6.0855e-05
242                     0.000142357                         6.4114e-05
243                     0.000153277                         7.2238e-05
244                     7.6825e-05                         3.2064e-05
245                     7.414e-05                         3.5642e-05
246                     7.3402e-05                         3.5154e-05
247                     0.000121749                         6.2656e-05
248                     0.00015403                         8.4749e-05
249                     0.00013476                         7.1827e-05
250                     0.000158414                         7.9151e-05
251                     0.000149016                         3.6828e-05
252                     0.000105094                         4.2444e-05
253                     7.9881e-05                         2.9676e-05
254                     7.5984e-05                         3.0229e-05
255                     7.1922e-05                         3.0935e-05
256                     7.1945e-05                         3.4014e-05
257                     7.212e-05                         3.2174e-05
258                     7.6092e-05                         3.2346e-05
259                     7.2715e-05                         3.2291e-05
260                     7.2517e-05                         3.6477e-05
261                     7.9676e-05                         3.2866e-05
262                     7.3411e-05                         3.5234e-05
263                     7.5696e-05                         3.8569e-05
264                     7.3782e-05                         3.4693e-05
265                     7.4383e-05                         3.7051e-05
266                     7.4495e-05                         3.6462e-05
267                     7.4955e-05                         3.4352e-05
268                     7.6899e-05                         3.5608e-05
269                     7.7965e-05                         3.2545e-05
270                     7.8568e-05                         3.7761e-05
271                     8.2969e-05                         3.3881e-05
272                     7.8283e-05                         3.9052e-05
273                     0.000166502                         7.851e-05
274                     0.000174956                         7.3387e-05
275                     0.000156906                         8.1184e-05
276                     0.000185436                         8.8968e-05
277                     0.000164878                         7.5983e-05
278                     0.000162701                         5.9026e-05
279                     0.000176623                         7.0748e-05
280                     0.000187321                         8.5795e-05
281                     0.000157807                         7.6778e-05
282                     0.000150216                         6.8272e-05
283                     0.000164139                         7.1358e-05
284                     0.00017369                         7.8778e-05
285                     0.000174301                         6.6861e-05
286                     0.000173445                         8.6074e-05
287                     0.000160266                         8.2019e-05
288                     0.000172712                         7.2727e-05
289                     0.000192401                         7.3022e-05
290                     0.000167233                         9.3977e-05
291                     0.000175839                         7.1961e-05
292                     0.000184503                         8.9558e-05
293                     0.000188109                         8.8898e-05
294                     0.000187622                         7.2288e-05
295                     0.000197023                         9.2499e-05
296                     0.000189135                         8.5845e-05
297                     0.000197926                         9.5003e-05
298                     0.000192549                         8.6447e-05
299                     0.000203152                         9.7779e-05
300                     0.000191927                         7.632e-05
301                     0.000185744                         7.7835e-05
302                     0.000201949                         8.8549e-05
303                     0.000202754                         9.1456e-05
304                     0.000203316                         6.8831e-05
305                     0.000195602                         7.5352e-05
306                     0.000184869                         9.5288e-05
307                     0.000205202                         9.9348e-05
308                     0.000181193                         8.2337e-05
309                     0.000190454                         8.26e-05
310                     0.000174693                         8.4317e-05
311                     0.000190064                         8.6145e-05
312                     0.000181081                         8.1436e-05
313                     0.000201627                         8.1125e-05
314                     0.000241717                         0.00010076
315                     0.000209965                         8.6407e-05
316                     0.000210841                         9.339e-05
317                     0.000210869                         9.1386e-05
318                     0.000209484                         9.4147e-05
319                     0.000206921                         8.5249e-05
320                     0.000200505                         8.0005e-05
321                     0.0002134                         9.0441e-05
322                     0.000215239                         9.4201e-05
323                     0.000210395                         8.5207e-05
324                     0.000197059                         9.5603e-05
325                     0.00021698                         9.3225e-05
326                     0.000216644                         8.8314e-05
327                     0.000212207                         8.8615e-05
328                     0.000196922                         9.2895e-05
329                     0.000200348                         9.2157e-05
330                     0.000234876                         0.00011519
331                     0.000219453                         0.000112857
332                     0.000234722                         0.000103223
333                     0.000221859                         9.1965e-05
334                     0.00021884                         8.1282e-05
335                     0.000226354                         9.7443e-05
336                     0.000188671                         8.0904e-05
337                     0.000179194                         9.863e-05
338                     0.00018915                         8.8091e-05
339                     0.000213314                         9.6172e-05
340                     0.000221632                         7.7987e-05
341                     0.000215504                         8.3387e-05
342                     0.000218698                         8.8248e-05
343                     0.00022829                         0.000101155
344                     0.000213373                         7.3818e-05
345                     0.000205789                         6.3888e-05
346                     0.000215398                         8.7781e-05
347                     0.000213277                         9.8494e-05
348                     0.00023309                         6.5009e-05
349                     0.000209438                         0.000100475
350                     0.000213352                         0.000103108
351                     0.000214919                         9.1727e-05
352                     0.000195354                         9.3808e-05
353                     0.000236653                         9.7652e-05
354                     0.0002308                         9.1111e-05
355                     0.000234961                         9.0347e-05
356                     0.000214728                         0.000112414
357                     0.000214584                         9.6142e-05
358                     0.00024018                         0.000105313
359                     0.000219894                         0.000110077
360                     0.000233838                         8.7695e-05
361                     0.000241016                         0.000103245
362                     0.000222716                         0.000107282
363                     0.000216265                         9.5126e-05
364                     0.000243472                         9.5717e-05
365                     0.000241191                         0.000106936
366                     0.00024633                         0.000107877
367                     0.000247227                         0.000101677
368                     0.00023486                         9.9289e-05
369                     0.000239438                         0.000105997
370                     0.000246542                         0.000101993
371                     0.000229508                         0.000106693
372                     0.000248269                         9.9553e-05
373                     0.000243456                         8.9369e-05
374                     0.000242762                         0.000106313
375                     0.000251195                         0.000103957
376                     0.000241319                         0.000141881
377                     0.000246097                         0.000106561
378                     0.000234593                         9.2836e-05
379                     0.000245945                         0.000102852
380                     0.00024646                         0.000118918
381                     0.000227052                         9.6243e-05
382                     0.000255428                         0.00011001
383                     0.000237761                         0.000115889
384                     0.00023953                         0.000104138
385                     0.000238757                         9.3826e-05
386                     0.000257637                         0.000107041
387                     0.000259599                         0.000116176
388                     0.000258603                         0.000108624
389                     0.00024954                         0.000110193
390                     0.000258782                         0.000110284
391                     0.00026067                         0.000112442
392                     0.000255299                         9.3923e-05
393                     0.000250031                         0.00011562
394                     0.00026184                         0.000114385
395                     0.000236136                         0.00010516
396                     0.000273409                         0.000124168
397                     0.000256213                         0.000111346
398                     0.000249275                         0.00010482
399                     0.000251827                         0.000110781
400                     0.000265484                         0.000114135
